test_id,category,rank_dense_text,rank_image,rank_mm_alpha_0.75,rank_lexical,retrieval_seconds
30b5c4969ddfed66,sports,2,1,1,1,6.297098375041969
fcc380721b5b90b7,sports,1,1,1,1,0.036133708024863154
cf51b562ce4b151e,sports,1,1,1,1,0.03553220897447318
02a07ad9c7a29286,sports,2,3,2,1,0.033783666032832116
060d93d8f53ccd70,business_technology_science,1,1,1,1,0.03414770803647116
e2249155d11e59ec,business_technology_science,3,14,4,3,0.03508100000908598
de904b73ea02e0d2,business_technology_science,1,6,1,1,0.03667483403114602
76a2bffc125b8877,business_technology_science,1,2,1,2,0.03475549997529015
a18dda71df8865ef,politics_conflict,1,89,3,5,0.034016249992419034
9e44023bc293e53a,politics_conflict,1,28,1,1,0.0347682919818908
935f5da232d9692b,politics_conflict,1,14,1,1,0.03408700000727549
6db4924d15b74dad,politics_conflict,1,51,1,1,0.035758040961809456
1c2cf0692ea35a78,international,1,2,1,2,0.03586445900145918
556da39750eea302,international,3,3,2,3,0.034588915994390845
6d829e7bd943bfc0,international,2,255,2,1,0.03429441701155156
a5e6dc1584d225ec,international,2,3,2,1,0.03452687500976026
f0e21d85bbfdba7b,society_culture,1,1,1,1,0.03498929203487933
0c1244b85425067a,society_culture,1,143,1,1,0.0347622919944115
bcded98e450023c8,society_culture,1,127,2,1,0.034713624976575375
9bb3a8fb413510c1,society_culture,2,1,1,1,0.03524879098404199
