test_id,config,faithfulness,kind,category
02a07ad9c7a29286,B1,1.0,usable,sports
02a07ad9c7a29286,M,0.8571428571428571,usable,sports
02a07ad9c7a29286,M_vision,1.0,usable,sports
060d93d8f53ccd70,B1,0.7,usable,business_technology_science
060d93d8f53ccd70,M,1.0,soft,business_technology_science
060d93d8f53ccd70,M_vision,0.7,soft,business_technology_science
0c1244b85425067a,M,1.0,soft,society_culture
1c2cf0692ea35a78,M_vision,0.9,soft,international
30b5c4969ddfed66,M,0.8333333333333334,soft,sports
30b5c4969ddfed66,M_vision,0.8333333333333334,soft,sports
556da39750eea302,B1,0.8181818181818182,usable,international
556da39750eea302,M,0.8,usable,international
556da39750eea302,M_vision,0.9,usable,international
6d829e7bd943bfc0,B1,0.8888888888888888,usable,international
6d829e7bd943bfc0,M,0.8571428571428571,usable,international
6d829e7bd943bfc0,M_vision,0.8888888888888888,usable,international
6db4924d15b74dad,B1,1.0,usable,politics_conflict
6db4924d15b74dad,M,0.8,usable,politics_conflict
6db4924d15b74dad,M_vision,0.8181818181818182,usable,politics_conflict
76a2bffc125b8877,B1,0.8888888888888888,usable,business_technology_science
76a2bffc125b8877,M,0.8,usable,business_technology_science
76a2bffc125b8877,M_vision,1.0,usable,business_technology_science
935f5da232d9692b,B1,0.8461538461538461,usable,politics_conflict
935f5da232d9692b,M,0.9090909090909091,usable,politics_conflict
935f5da232d9692b,M_vision,0.9,usable,politics_conflict
9bb3a8fb413510c1,B1,1.0,usable,society_culture
9bb3a8fb413510c1,M,1.0,usable,society_culture
9bb3a8fb413510c1,M_vision,1.0,usable,society_culture
9e44023bc293e53a,B1,0.4,usable,politics_conflict
9e44023bc293e53a,M,0.3333333333333333,usable,politics_conflict
9e44023bc293e53a,M_vision,0.4,usable,politics_conflict
a18dda71df8865ef,B1,1.0,usable,politics_conflict
a18dda71df8865ef,M,1.0,usable,politics_conflict
a18dda71df8865ef,M_vision,1.0,usable,politics_conflict
a5e6dc1584d225ec,B1,0.7777777777777778,usable,international
a5e6dc1584d225ec,M,0.7777777777777778,usable,international
a5e6dc1584d225ec,M_vision,0.6666666666666666,usable,international
bcded98e450023c8,B1,0.875,usable,society_culture
bcded98e450023c8,M,1.0,usable,society_culture
bcded98e450023c8,M_vision,0.875,usable,society_culture
cf51b562ce4b151e,B1,1.0,soft,sports
cf51b562ce4b151e,M,1.0,soft,sports
cf51b562ce4b151e,M_vision,1.0,soft,sports
de904b73ea02e0d2,B1,1.0,soft,business_technology_science
de904b73ea02e0d2,M,1.0,soft,business_technology_science
de904b73ea02e0d2,M_vision,0.7,usable,business_technology_science
e2249155d11e59ec,B1,1.0,usable,business_technology_science
e2249155d11e59ec,M,0.875,usable,business_technology_science
e2249155d11e59ec,M_vision,1.0,usable,business_technology_science
f0e21d85bbfdba7b,B1,0.6666666666666666,soft,society_culture
f0e21d85bbfdba7b,M,0.6,soft,society_culture
f0e21d85bbfdba7b,M_vision,0.5,soft,society_culture
