test_id,faithfulness,kind
060d93d8f53ccd70,0.0,usable
9bb3a8fb413510c1,0.4444444444444444,usable
4f0231cf23c94485,0.42857142857142855,usable
24bb2451c2227bdb,0.0,usable
bd703884ca4466ed,0.25,usable
f0e21d85bbfdba7b,0.0,usable
e2249155d11e59ec,0.23076923076923078,usable
935f5da232d9692b,0.25,usable
002af1e8e4bf3974,0.3,usable
9ef0b82909704b45,0.0,usable
cf51b562ce4b151e,0.0,usable
62b11ba0acb16de1,0.0,usable
d5cf26fef420979f,0.3076923076923077,usable
36dc75121099f9ca,0.6363636363636364,usable
11bc3fc1cb900287,0.09090909090909091,usable
4c21833078b5508a,0.0,usable
e2bf59be1ee1ecce,0.45454545454545453,usable
bb07fa1a1859a7ab,0.0,usable
d4daf24782ca1fed,0.5555555555555556,usable
33a8425b41c07497,0.0,usable
48b2b37a17d2de45,0.7,usable
4fc56eef6e4eb4d7,0.0,usable
9447bb643eaf92a8,0.0,usable
dad76cb1db618bca,0.0,usable
92300df29dbcea3e,0.0,usable
9f02f2666ad58ccd,0.0,usable
598b27da8ac1d2b4,0.0,usable
ba5833c794d79d47,0.0,usable
b4e110e18f6b5b57,0.0,usable
06651158c9ca9498,0.375,usable
bbd1b2a0b0fdf371,0.0,usable
c3f75f98e9df9033,0.6,usable
32fa8e95b3adaff4,0.0,usable
ba44671906c5c380,0.0,usable
77658461b4979f52,0.0,usable
070956fe9747473b,0.2222222222222222,usable
9b3791371f2d89fe,0.0,usable
fcfceb1fb88147ab,0.18181818181818182,usable
4d2083c00f2c7207,0.0,usable
bcded98e450023c8,0.16666666666666666,usable
d7e4fbd4785d37d1,0.0,usable
a18dda71df8865ef,0.5,usable
46d78553421a9646,0.0,usable
30b5c4969ddfed66,0.0,usable
7682d9936546be96,0.0,usable
22c6ee9fcb3b716b,0.15384615384615385,usable
74afa5f3a4a319e9,0.0,usable
85e667ee1a25ac55,0.1111111111111111,usable
b6ddf24f05c0091a,0.17647058823529413,usable
cfafbe2fecc54f4f,0.0,usable
88502391a3952417,0.08333333333333333,usable
c2e3e4c35a856070,0.5833333333333334,usable
2ae4c40adbe60b84,0.0,usable
36146c7cc230d8dd,0.0,usable
02a07ad9c7a29286,0.5555555555555556,usable
df3ebb56a6a48c7c,0.0,usable
fcd0fd0961018750,0.36363636363636365,usable
89069972a0046935,0.0,usable
6df4022312087f03,0.0,usable
12f660940b0b8702,0.0,usable
d711699844110c3e,0.7777777777777778,usable
938ba651334fd224,0.0,usable
a6674da59b58ec67,0.0,usable
11d52b61cdba900c,0.0,usable
70f1e123950f1784,0.0,usable
a127a706ace10d2a,0.2,usable
2e89eac0a0d9ce9c,0.0,usable
5bfd52b6f1c5d51e,0.2857142857142857,usable
9dd8dc132e20834e,0.25,usable
62e35783495ea7e3,0.2222222222222222,usable
5d01d382e0b0dd32,0.0,usable
3acaee9a1831b6b2,0.0,usable
4aca9f5642c12ea8,0.3076923076923077,usable
09aac85c45acf35c,0.0,usable
d839673fc55c2537,0.1,usable
556da39750eea302,0.16666666666666666,usable
65d84e8b54e956a3,0.7857142857142857,usable
6dd3e2f355509b35,0.0,usable
5bb661bd57eeaf76,0.0,usable
c22f234627debce1,0.0,usable
b5fff101fef3c712,0.2222222222222222,usable
5f8c1f8b4b5aad93,0.2222222222222222,usable
40476177bdae3546,0.75,usable
76a2bffc125b8877,0.2222222222222222,usable
436d9bfd3d81cbbb,0.0,usable
a5e6dc1584d225ec,0.0,usable
6d9180635e6385cd,0.0,usable
9e44023bc293e53a,0.0,usable
