kind,id_a,split_a,headline_a,id_b,split_b,headline_b,cross_split,text_similarity,image_hamming
image_exact,2af7168c0ce22da7,pool,Nottingham: 'Hero' student Grace O'Malley-Kumar died protecting friend from killer - BBC News,62994d7bd0e2311d,test,Grace O'Malley-Kumar: Mum wants mandatory jail terms for knife carrying - BBC News,True,,0.0
image_exact,3fe5b81993fc5728,pool,Alfie Phillips murder: Mother and partner guilty of killing toddler - BBC News,a145164e6e07abb2,test,Alfie Phillips murder trial: Accused unaware that toddler was injured - court - BBC News,True,,0.0
image_exact,3fe5b81993fc5728,pool,Alfie Phillips murder: Mother and partner guilty of killing toddler - BBC News,ae7569a952f03243,test,Alfie Phillips murder trial: Mother tells court she did not bite baby - BBC News,True,,0.0
image_exact,4eb8dcc3e1845849,pool,Speculation over Bronson Battersby death 'unhelpful' - BBC News,ebbf63f11046aceb,test,Bronson Battersby's sister does not blame social services for his death - BBC News,True,,0.0
image_exact,5566032ea6850f59,test,Valdo Calocane: Police did not arrest killer after previous assaults - BBC News,c7b08f42e174cbe0,pool,Nottingham attacks: Triple killer had history of mental health problems - BBC News,True,,0.0
image_exact,61d23ed8458a2c1c,pool,"Russia risked lives in downed plane, Volodymyr Zelensky says - BBC News",9c112637f060fec0,test,Russian jet crashes carrying Ukrainian PoWs - Moscow - BBC News,True,,0.0
image_exact,79ffb0252216a333,test,Ofsted: Head teachers can request pause as inspections resume - BBC News,e69d6c0050ef2cc2,pool,Ruth Perry: Ofsted chief promises sister minute's silence - BBC News,True,,0.0
image_exact,7d93e7078bc0498e,test,Colossal pliosaur sea monster skull on display in Dorset - BBC News,94450bdca00e6643,pool,Pliosaur discovery: Dorset fossil attracts record visitors to museum - BBC News,True,,0.0
image_exact,850ac746bb8eb185,pool,Ofsted sorry for its role in Ruth Perry's suicide - BBC News,9b014383333a7c4c,test,"Ruth Perry death: Ofsted needs more empathy, says new boss - BBC News",True,,0.0
image_exact,89c9c071ad2933e8,test,Japan Airlines: Hundreds survive after plane bursts into flames on Tokyo runway - BBC News,f56df533190b92b7,pool,Japan jet crash: How crew pulled off flawless evacuation from plane inferno - BBC News,True,,0.0
image_exact,a145164e6e07abb2,test,Alfie Phillips murder trial: Accused unaware that toddler was injured - court - BBC News,c98a7ddbc7f8def1,pool,Alfie Phillips: Man accused of toddler's murder woke to find him 'floppy' - BBC News,True,,0.0
image_exact,a145164e6e07abb2,test,Alfie Phillips murder trial: Accused unaware that toddler was injured - court - BBC News,da266ed94612754e,pool,Alfie Phillips murder: Life sentence for mum and partner who killed toddler - BBC News,True,,0.0
image_exact,aaab31f380c95013,pool,"Bronson Battersby: Review after boy, two, and dad found dead - BBC News",ebbf63f11046aceb,test,Bronson Battersby's sister does not blame social services for his death - BBC News,True,,0.0
image_exact,ae7569a952f03243,test,Alfie Phillips murder trial: Mother tells court she did not bite baby - BBC News,c98a7ddbc7f8def1,pool,Alfie Phillips: Man accused of toddler's murder woke to find him 'floppy' - BBC News,True,,0.0
image_exact,ae7569a952f03243,test,Alfie Phillips murder trial: Mother tells court she did not bite baby - BBC News,da266ed94612754e,pool,Alfie Phillips murder: Life sentence for mum and partner who killed toddler - BBC News,True,,0.0
image_exact,bc6b8572e10c29d9,pool,Mouse filmed tidying up man's shed every night - BBC News,cd1b3698bac190fe,test,Why Wales' tidy mouse loves 'mousekeeping' - BBC News,True,,0.0
image_exact,bdbd051eed422090,test,Red Sea attacks: 'Our shipping costs have jumped 250%' - BBC News,e518eb6c5fb7183f,pool,Next warns of supply delays due to Red Sea shipping attacks - BBC News,True,,0.0
image_exact,ebbf63f11046aceb,test,Bronson Battersby's sister does not blame social services for his death - BBC News,f1d21f1a13dbc1d0,pool,Bronson Battersby: Police watchdog to investigate toddler death - BBC News,True,,0.0
image_near,4decff18f121806f,pool,Pro-Palestinian supporters disrupt speech by David Lammy - BBC News,a7569273c6ebdea8,test,Netanyahu publicly rejects US push for Palestinian state - BBC News,True,,3.0
text_near,61d23ed8458a2c1c,pool,"Russia risked lives in downed plane, Volodymyr Zelensky says - BBC News",9c112637f060fec0,test,Russian jet crashes carrying Ukrainian PoWs - Moscow - BBC News,True,0.868243,
image_exact,0992d83c713c485c,pool,Post Office scandal: Met Police investigate potential fraud offences - BBC News,a42973b88c85573b,pool,Post Office scandal: Dozens more seek legal help after TV drama - BBC News,False,,0.0
image_exact,0992d83c713c485c,pool,Post Office scandal: Met Police investigate potential fraud offences - BBC News,deddf51749a18dab,pool,The power of Mr Bates vs The Post Office in bringing about justice - BBC News,False,,0.0
